;Schlüssel- und Namensverzeichnis der lebensweltlich orientierten Räume;;;;;;;;;;
Bezirk;;;"Prognoseräume
Ebene 3";;;"Bezirksregionen
Ebene 2";;;"Planungsraum
Ebene 1";;
Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name
;;;;;;;;;;;
;01;Mitte;;01;Zentrum;;11;Tiergarten Süd;;01;Stülerstr.
;;;;;;;;;;02;Großer Tiergarten
;;;;;;;;;;03;Lützowstr.
;;;;;;;;;;04;Körnerstr.
;;;;;;;;;;05;Nördl. Landwehrkanal
;;;;;;;12;Regierungsviertel;;01;Wilhelmstr.
;;;;;;;;;;02;Unter den Linden Nord
;;;;;;;;;;03;Unter den Linden Süd
;;;;;;;;;;04;Leipziger Str.
;;;;;;;13;Alexanderplatz;;01;Charitéviertel
;;;;;;;;;;02;Oranienburger Str.
;;;;;;;;;;03;Alexanderplatzviertel
;;;;;;;;;;04;Karl-Marx-Allee
;;;;;;;;;;05;Heine-Viertel West
;;;;;;;;;;06;Heine-Viertel Ost
;;;;;;;14;Brunnenstr. Süd;;01;Invalidenstr.
;;;;;;;;;;02;Arkonaplatz
;;;;02;Moabit;;21;Moabit West;;01;Huttenkiez
;;;;;;;;;;02;Beusselkiez
;;;;;;;;;;03;Westhafen
;;;;;;;;;;04;Emdener Str.
;;;;;;;;;;05;Zwinglistr.
;;;;;;;;;;06;Elberfelder Str.
;;;;;;;22;Moabit Ost;;01;Stephankiez
;;;;;;;;;;02;Heidestr.
;;;;;;;;;;03;Lübecker Str.
;;;;;;;;;;04;Thomasiusstr.
;;;;;;;;;;05;Zillesiedlung
;;;;;;;;;;06;Lüneburger Str.
;;;;;;;;;;07;Hansaviertel
;;;;03;Gesund-        brunnen;;31;Osloer Straße;;01;Soldiner Str.
;;;;;;;;;;02;Gesundbrunnen
;;;;;;;32;Brunnenstr. Nord;;01;Brunnenstr.
;;;;;;;;;;02;Humboldthain Süd
;;;;;;;;;;03;Humboldthain NW
;;;;04;Wedding;;41;Parkviertel;;01;Rehberge
;;;;;;;;;;02;Schillerpark
;;;;;;;;;;03;Westl. Müllerstr.
;;;;;;;42;Wedding Zentrum;;01;Reinickendorfer Str.
;;;;;;;;;;02;Sparrplatz
;;;;;;;;;;03;Leopoldplatz
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
